Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,1st_Ph_GC,4,Adver_Mktg_Mgmt,daytime,2nd_Edu,125.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",114.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,0
Single,1st_Ph_GC,1,Nursing,daytime,2nd_Edu,126.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123.9,No,No,No,Yes,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,0
Single,2nd_phase_GC,2,Social_Serv,daytime,2nd_Edu,115.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116.4,Yes,No,No,Yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,0
Single,1st_Ph_GC,1,Mgmt,daytime,2nd_Edu,135.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Unskilled Workers,Unskilled Workers,122.1,Yes,No,No,Yes,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,0
Single,change_of_Inst/Crs,1,Communic_Des,daytime,2nd_Edu,125.0,Portuguese,Pro_higher_technic_Crs,Degree,Specialists in information and communication technologies (ICT),"Specialists in finance, accounting, administrative organization, public and commercial relations",130.0,Yes,No,No,Yes,Male,No,20,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,0
Single,3rd_Ph_GC,1,Social_Serv_eve_AA,evening,2nd_Edu,138.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.5,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,0
Single,1st_Ph_GC,1,Mgmt_evening_eve_AA,evening,2nd_Edu,130.0,Portuguese,Bachelors_Degree,Basic_Edu_1st_Cyc_or_Eq,Intermediate Level Technicians and Professions,Unskilled Workers,131.4,No,No,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,0
Single,>23y.o,1,Biofuel_Prod_Techno,daytime,2nd_Edu,130.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",102.5,No,No,Yes,No,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,1
Single,>23y.o,1,Informatics_Engin,daytime,11th_yr_of_Sch_NC,133.1,Portuguese,Unknown,Basic_Edu_1st_Cyc_or_Eq,Student,Student,128.8,Yes,No,No,Yes,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,1
Single,change_of_Crs,1,Mgmt,daytime,2nd_Edu,140.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122.9,No,No,No,Yes,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,1
Divorced,>23y.o,1,Mgmt_evening_eve_AA,evening,2nd_Edu,120.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Intermediate Level Technicians and Professions,113.9,Yes,No,No,Yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,0
Single,tech_Spc_diploma,1,Equinculture,daytime,Techno_Spc_Crs,120.0,Spanish,Masters,Masters,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,No,No,Yes,No,Female,No,20,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,1
Single,1st_Ph_GC,5,Journalism_Communic,daytime,2nd_Edu,126.0,Portuguese,Degree,Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,121.1,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,1
Single,1st_Ph_GC,2,Mgmt,daytime,2nd_Edu,133.0,Portuguese,Degree,Basic_Edu_3rd_cyc_or_Eq,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",120.4,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,0
Single,1st_Ph_GC,6,Nursing,daytime,2nd_Edu,103.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.6,Yes,Yes,No,Yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,0
Single,2nd_phase_GC,1,Journalism_Communic,daytime,2nd_Edu,120.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.4,No,No,No,No,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,1
Single,>23y.o,1,Mgmt_evening_eve_AA,evening,2nd_Edu,133.1,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,109.7,No,No,No,Yes,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,1
Single,2nd_phase_GC,2,Social_Serv,daytime,2nd_Edu,130.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Unskilled Workers,127.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,0
Single,2nd_phase_GC,6,Nursing,daytime,2nd_Edu,132.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,Yes,No,No,Yes,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,0
Single,tech_Spc_diploma,1,Social_Serv_eve_AA,evening,Techno_Spc_Crs,130.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Unskilled Workers,133.4,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,0
Single,1st_Ph_GC,1,Social_Serv,daytime,2nd_Edu,139.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,126.1,No,No,No,Yes,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,0
Single,>23y.o,1,Tourism,daytime,2nd_Edu,130.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,0
Single,1st_Ph_GC,3,Equinculture,daytime,2nd_Edu,167.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Other Situation,Other Situation,159.3,No,No,No,Yes,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,0
Single,>23y.o,1,Mgmt_evening_eve_AA,evening,2nd_Edu,130.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,120.0,No,No,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,1
Single,1st_Ph_GC,1,Nursing,daytime,2nd_Edu,130.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_3rd_cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,0
Married,holders_of_other_higher_Crs,1,Tourism,daytime,degree,130.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Degree,Administrative staff,Intermediate Level Technicians and Professions,130.0,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,1
Single,>23y.o,1,Equinculture,daytime,degree_1st_cyc,129.0,Portuguese,Degree,Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.3,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,1
Single,2nd_phase_GC,1,Nursing,daytime,2nd_Edu,141.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,0
Single,1st_Ph_GC,2,Nursing,daytime,2nd_Edu,125.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Unskilled Workers,114.9,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,0
Single,tech_Spc_diploma,1,Social_Serv,daytime,Techno_Spc_Crs,130.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,Unskilled Workers,Unskilled Workers,131.9,No,No,No,Yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,0
Divorced,transfer,1,Nursing,daytime,Basic_Edu_3rd_Cyc_or_Eq,133.1,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,2nd_Edu_12th_yr_of_Sch_or_Eq,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126.0,Yes,No,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,1
Single,1st_Ph_GC,3,Animation_Multimed_Des,daytime,2nd_Edu,139.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
Single,tech_Spc_diploma,1,Agronomy,daytime,Techno_Spc_Crs,130.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,130.0,Yes,No,No,Yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,0
Single,1st_Ph_GC,3,Mgmt,daytime,2nd_Edu,125.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.1,No,No,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,1
Single,2nd_phase_GC,1,Nursing,daytime,2nd_Edu,150.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Installation and Machine Operators and Assembly Workers,Administrative staff,130.8,No,No,No,Yes,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,0
Single,1st_Ph_GC,1,Animation_Multimed_Des,daytime,2nd_Edu,141.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,135.8,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,1
Single,2nd_phase_GC,4,Tourism,daytime,2nd_Edu,118.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",111.7,Yes,No,No,Yes,Male,No,18,No,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,1
Single,1st_Ph_GC,2,Journalism_Communic,daytime,2nd_Edu,142.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,132.9,Yes,No,No,Yes,Male,No,18,No,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,0
Single,2nd_phase_GC,3,Mgmt,daytime,2nd_Edu,120.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",115.5,Yes,No,Yes,Yes,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,1
Single,3rd_Ph_GC,4,Tourism,daytime,2nd_Edu,106.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",106.0,Yes,No,No,Yes,Male,Yes,21,No,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,1
Single,2nd_phase_GC,4,Journalism_Communic,daytime,2nd_Edu,121.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,Yes,No,Yes,Yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,0
Single,2nd_phase_GC,4,Nursing,daytime,2nd_Edu,150.0,Portuguese,Basic_Edu_2nd_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,Unskilled Workers,130.8,No,No,No,Yes,Male,Yes,22,No,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,0
Married,>23y.o,1,Social_Serv_eve_AA,evening,2nd_Edu,120.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",117.0,No,No,No,Yes,Male,No,33,No,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,0
Single,1st_Ph_GC,6,Basic_Edu,daytime,2nd_Edu,114.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Unskilled Workers,Unskilled Workers,110.2,Yes,No,No,Yes,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,1
Single,>23y.o,1,Mgmt_evening_eve_AA,evening,bachelors_degree,140.0,Portuguese,Degree,Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.7,Yes,No,No,Yes,Male,No,35,No,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,1
Single,>23y.o,1,Agronomy,daytime,masters,160.0,Portuguese,Degree,Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,180.4,No,No,Yes,Yes,Male,No,24,No,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,1
Married,>23y.o,1,Social_Serv_eve_AA,evening,2nd_Edu,130.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_1st_Cyc_or_Eq,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",110.0,Yes,No,No,Yes,Female,No,33,No,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,0
Single,transfer,1,Nursing,daytime,2nd_Edu,160.0,Portuguese,Basic_Edu_1st_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",161.0,Yes,No,No,Yes,Female,Yes,22,No,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,0
Single,>23y.o,1,Adver_Mktg_Mgmt,daytime,2nd_Edu,120.0,Portuguese,2nd_Edu_12th_yr_of_Sch_or_Eq,Basic_Edu_3rd_cyc_or_Eq,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",100.0,No,No,No,Yes,Female,Yes,25,No,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,0
Single,2nd_phase_GC,1,Communic_Des,daytime,2nd_Edu,124.0,Portuguese,Basic_Edu_3rd_Cyc_or_Eq,Basic_Edu_2nd_Cyc_or_Eq,Administrative staff,Student,117.6,Yes,No,No,Yes,Male,No,20,No,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,0
